method,corruption,online_updates,prior_mass,trials,exploitability_mean,exploitability_stderr,exploitability_p90,paired_improvement_mean,paired_improvement_stderr,paired_win_rate
vanilla,0.1,4,4.0,100,0.23632729689128262,0.0015581160320769518,0.25403680461514344,0.37040032264927364,0.01061316519470867,1.0
vanilla,0.1,4,16.0,100,0.09621428815946986,0.0006054530806904478,0.10601793241882597,0.5105133313810863,0.010529826961656833,1.0
vanilla,0.1,4,64.0,100,0.060087796941941114,0.00021823757175260813,0.06287947314081349,0.5466398225986151,0.010560154803909923,1.0
vanilla,0.1,4,256.0,100,0.06681130532692543,2.3362023874728526e-5,0.06708907279358031,0.5399163142136308,0.01057356798547459,1.0
vanilla,0.1,4,1024.0,100,0.07271387177658947,3.932405363372794e-6,0.0727646627875333,0.5340137477639667,0.01057042350124958,1.0
vanilla,0.1,4,4096.0,100,0.07432322196010346,4.812321471694519e-7,0.07432931609318502,0.5324043975804529,0.01057024082683066,1.0
vanilla,0.1,16,0.0,100,0.428157145358121,0.0095989206400056,0.5415729431066814,0.0,0.0,0.0
vanilla,0.1,16,1.0,100,0.43408943576329373,0.007448744308711031,0.5294626289484479,-0.005932290405172731,0.012116973146441093,0.43
vanilla,0.1,16,4.0,100,0.4092949800368828,0.006711962565801831,0.49121755153851254,0.018862165321238224,0.012036770539236604,0.54
vanilla,0.1,16,16.0,100,0.2760768414120552,0.004101595649229322,0.34005755529830134,0.15208030394606578,0.010129505667968164,0.93
vanilla,0.1,16,64.0,100,0.10661293975610421,0.0014518462884983714,0.1254394683083246,0.32154420560201674,0.009634054863746872,1.0
vanilla,0.1,16,256.0,100,0.06086371286741836,0.00041320584839757657,0.06506542984264746,0.3672934324907026,0.009568301485555169,1.0
vanilla,0.1,16,1024.0,100,0.06685885282565435,7.34038112950835e-5,0.0680390491445231,0.3612982925324667,0.009595205408792763,1.0
vanilla,0.1,16,4096.0,100,0.07258323057755878,4.669032822331046e-6,0.0726516841487891,0.35557391478056216,0.00959818923320899,1.0
vanilla,0.1,64,0.0,100,0.2500459093090348,0.006313630044196915,0.3385377881515946,0.0,0.0,0.0
vanilla,0.1,64,1.0,100,0.19982815785924773,0.00505390840899228,0.2620830960776889,0.05021775144978708,0.008757575306051122,0.72
vanilla,0.1,64,4.0,100,0.2157157364534522,0.004861635155233279,0.28809059169417534,0.03433017285558257,0.00769203239159053,0.66
vanilla,0.1,64,16.0,100,0.24574765837729579,0.004670473391409736,0.31574496755215586,0.004298250931739046,0.00771069010844017,0.5
vanilla,0.1,64,64.0,100,0.2018936878623623,0.0037018369187920724,0.2573911113905556,0.04815222144667247,0.00691251378618416,0.75
vanilla,0.1,64,256.0,100,0.10627189946797434,0.0007329559945292083,0.11665669763762646,0.1437740098410605,0.006410840619049066,1.0
vanilla,0.1,64,1024.0,100,0.06419641753038809,0.0003795893365431257,0.06875568310705926,0.18584949177864676,0.0063076682206287624,1.0
vanilla,0.1,64,4096.0,100,0.06744866032306207,6.67048970301191e-5,0.06841362752761762,0.18259724898597274,0.00631831631981977,1.0
vanilla,0.25,4,0.0,100,0.6067276195405562,0.010570236304360641,0.744443135980723,0.0,0.0,0.0
vanilla,0.25,4,1.0,100,0.40098938162658554,0.0037024928844561775,0.4460765920277358,0.20573823791397072,0.011081280800236104,0.98
vanilla,0.25,4,4.0,100,0.24391862181398,0.0028935602444548833,0.29124578598583983,0.36280899772657627,0.010934845599177333,1.0
vanilla,0.25,4,16.0,100,0.15093379310970112,0.0008402669144669195,0.15754810009912884,0.45579382643085514,0.010570874183406836,1.0
vanilla,0.25,4,64.0,100,0.1629255389317149,2.715261931408331e-5,0.16329902528688334,0.4438020806088414,0.010569891707224239,1.0
vanilla,0.25,4,256.0,100,0.20143531343906484,2.4991830285341817e-6,0.20146526701228828,0.40529230610149136,0.010570319438583671,1.0
vanilla,0.25,4,1024.0,100,0.21210792151459423,5.645735838119933e-7,0.2121157468927726,0.3946196980259621,0.010570207732477716,1.0
vanilla,0.25,4,4096.0,100,0.21482942441428063,1.1311606893037446e-7,0.2148309946264177,0.39189819512627566,0.010570243002969838,1.0
vanilla,0.25,16,0.0,100,0.428157145358121,0.0095989206400056,0.5415729431066814,0.0,0.0,0.0
vanilla,0.25,16,1.0,100,0.4481692488930098,0.0074202780408557266,0.5466448012674571,-0.020012103534888803,0.012739621527241809,0.45
vanilla,0.25,16,4.0,100,0.4122848266247566,0.006595183130049015,0.5069960463463993,0.015872318733364418,0.010549890917407639,0.59
vanilla,0.25,16,16.0,100,0.2543772554876932,0.0027820775932932704,0.296672339131106,0.1737798898704278,0.00994693731069766,0.97
vanilla,0.25,16,64.0,100,0.15613523179491984,0.0005559506693804818,0.16057911378861608,0.27202191356320116,0.009567948607280021,1.0
vanilla,0.25,16,256.0,100,0.16397594578855096,0.00015047519589167488,0.16595562380418774,0.26418119956957004,0.009561566979523716,1.0
vanilla,0.25,16,1024.0,100,0.20155013225229884,4.631114814150173e-6,0.2016148078878831,0.22660701310582212,0.009598752735664167,1.0
vanilla,0.25,16,4096.0,100,0.21210900633905666,5.821806129233429e-7,0.21211675265284763,0.21604813901906436,0.009598991511419488,1.0
vanilla,0.25,64,0.0,100,0.2500459093090348,0.006313630044196915,0.3385377881515946,0.0,0.0,0.0
vanilla,0.25,64,1.0,100,0.2048819996338811,0.005888502756083253,0.2879125604990853,0.04516390967515377,0.008650818799247978,0.69
vanilla,0.25,64,4.0,100,0.21676344089833177,0.004630496081052539,0.2769395043325963,0.03328246841070304,0.007969297012268593,0.66
vanilla,0.25,64,16.0,100,0.2500050251957378,0.0031851769692542984,0.2922900569382732,4.0884113296980606e-5,0.006972318261348939,0.45
