style,trial,seed,iterations,max_depth,br_depth,epsilon,backup,n_states,n_expanded,root_visits,search_value,policy_value,p1_value_vs_p2_br,p2_value_vs_p1_br,exploitability_gap,root_regret_l2,root_strategy_entropy,elapsed_seconds
smoos,356,20356,500,5,5,0.3,sample,1221,732,500,-0.05601488599174345,-0.05601488599174345,-0.26436743324704115,-0.0,0.26436743324704115,1.0974788476414779,0.5571358425073314,0.0015845
smoos,357,20357,500,5,5,0.3,sample,1136,657,500,-0.008485605311218909,-0.008485605311218909,-0.17826950466492755,-0.0,0.17826950466492755,0.569153544718262,0.3923523140065991,0.001687584
smoos,358,20358,500,5,5,0.3,sample,1219,726,500,-0.014738765529677136,-0.014738765529677136,-0.14784066766632592,-0.0,0.14784066766632592,1.380197345941785,0.3590751584466046,0.00149
smoos,359,20359,500,5,5,0.3,sample,1177,690,500,-0.007500802150212841,-0.007500802150212841,-0.12792438469237666,-0.0,0.12792438469237666,1.380197345941785,0.43925231483668303,0.001583959
smoos,360,20360,500,5,5,0.3,sample,1179,694,500,-0.013663707853110971,-0.013663707853110971,-0.13642046889718384,-0.0,0.13642046889718384,1.1130113763379343,0.3649609410619878,0.001600375
smoos,361,20361,500,5,5,0.3,sample,1126,645,500,-0.00851586878323989,-0.00851586878323989,-0.0662953477920042,-0.0,0.0662953477920042,0.7968149626055667,0.3040318113310077,0.001531375
smoos,362,20362,500,5,5,0.3,sample,1255,760,500,-0.02951235404456236,-0.02951235404456236,-0.18434938599174105,-0.0,0.18434938599174105,0.7566937716241988,0.5112734534819581,0.00159775
smoos,363,20363,500,5,5,0.3,sample,1111,634,500,-0.01664469842974734,-0.01664469842974734,-0.18360580766201476,-0.0,0.18360580766201476,1.2459087290296489,0.11417007945248789,0.001522584
smoos,364,20364,500,5,5,0.3,sample,1296,806,500,-0.02185920229123211,-0.02185920229123211,-0.15852906599979522,-0.0,0.15852906599979522,1.468732341786848,0.7882136143715406,0.001574292
smoos,365,20365,500,5,5,0.3,sample,1112,643,500,-0.006021647142115251,-0.006021647142115251,-0.16951268186336718,-0.0,0.16951268186336718,0.9399886987435827,0.26485963008757707,0.00154675
smoos,366,20366,500,5,5,0.3,sample,1275,781,500,-0.023787503736351776,-0.023787503736351776,-0.10365526341741287,-0.0,0.10365526341741287,1.7062309814347156,0.6792991730676733,0.00156375
smoos,367,20367,500,5,5,0.3,sample,1235,739,500,-0.014973972442466562,-0.014973972442466562,-0.1621390973190961,-0.0,0.1621390973190961,0.8853499584506297,0.2300033176143173,0.001571792
smoos,368,20368,500,5,5,0.3,sample,1094,624,500,-0.005452994090011439,-0.005452994090011439,-0.2442111050556932,-0.0,0.2442111050556932,1.5621051427620167,0.10200175365810621,0.001574042
smoos,369,20369,500,5,5,0.3,sample,1251,758,500,-0.01996931173858149,-0.01996931173858149,-0.15435941046450655,-0.0,0.15435941046450655,0.7855323401753687,0.6932015103309743,0.001618792
smoos,370,20370,500,5,5,0.3,sample,1111,630,500,-0.007105503935502039,-0.007105503935502039,-0.18047414117154154,-0.0,0.18047414117154154,0.4846658629689733,0.08265407187962995,0.001513292
smoos,371,20371,500,5,5,0.3,sample,1185,702,500,-0.03704295463872133,-0.03704295463872133,-0.29324229958119086,-0.0,0.29324229958119086,1.6070682727947592,0.6084436250473833,0.001549875
smoos,372,20372,500,5,5,0.3,sample,1125,649,500,-0.01018751315331787,-0.01018751315331787,-0.18753923613057952,-0.0,0.18753923613057952,0.712327280856278,0.2575034129542897,0.003607792
smoos,373,20373,500,5,5,0.3,sample,1212,726,500,-0.011562675428504657,-0.011562675428504657,-0.11735652140686606,-0.0,0.11735652140686606,1.321005377291086,0.5246756517553367,0.001594333
smoos,374,20374,500,5,5,0.3,sample,1119,649,500,-0.011451775559596759,-0.011451775559596759,-0.18536554271653696,-0.0,0.18536554271653696,0.3961308671239103,0.17595823213917233,0.001569084
smoos,375,20375,500,5,5,0.3,sample,1107,634,500,-0.04607200700273909,-0.04607200700273909,-0.3618011061612358,-0.0,0.3618011061612358,0.4846658629689733,0.36253777234565243,0.001532708
smoos,376,20376,500,5,5,0.3,sample,1145,664,500,-0.019015101211030346,-0.019015101211030346,-0.18355553051215626,-0.0,0.18355553051215626,1.1571635484133937,0.1188931477383686,0.001511375
smoos,377,20377,500,5,5,0.3,sample,1155,679,500,-0.017160137599970735,-0.017160137599970735,-0.15701506405100213,-0.0,0.15701506405100213,1.380197345941785,0.4469375547874198,0.001569791
smoos,378,20378,500,5,5,0.3,sample,1321,828,500,-0.03334977204420956,-0.03334977204420956,-0.1612768487793494,-0.0,0.1612768487793494,1.0364696179962396,0.820138023909017,0.001608334
smoos,379,20379,500,5,5,0.3,sample,1178,697,500,-0.006185074832759263,-0.006185074832759263,-0.032626175817023234,-0.0,0.032626175817023234,1.468732341786848,0.45202280985988796,0.001549542
smoos,380,20380,500,5,5,0.3,sample,1116,637,500,-0.011956470843979236,-0.011956470843979236,-0.12154015849475053,-0.0,0.12154015849475053,0.8352925528633101,0.23111256793987875,0.001530791
smoos,381,20381,500,5,5,0.3,sample,1184,696,500,-0.01110756662783597,-0.01110756662783597,-0.14034736008836332,-0.0,0.14034736008836332,1.7849287555192157,0.43479442862742823,0.001553459
smoos,382,20382,500,5,5,0.3,sample,1195,716,500,-0.050043151341534864,-0.050043151341534864,-0.3004070807695056,-0.0,0.3004070807695056,0.692118816725294,0.43377235453986035,0.001543167
smoos,383,20383,500,5,5,0.3,sample,1175,692,500,-0.023230835140091458,-0.023230835140091458,-0.12304126885239339,-0.0,0.12304126885239339,2.174289506095768,0.375565777684899,0.001540041
