method,corruption,confidence,online_updates,tree_queries,source_mass,root_regret_mass,root_strategy_mass,fit_regret_relative_error,fit_regret_cosine,fit_strategy_tv,baseline_mean,baseline_stderr,transfer_mean,transfer_stderr,paired_improvement,paired_improvement_stderr,paired_win_rate
plus,0.5,0.5,256,257,4096,32.125,128.5,0.5723508626435312,0.82462268978937,0.20122043727091374,0.1870669541076717,0.0029514847008476415,0.183245729459881,0.001917580507235295,0.00382122464779074,0.0034984969461122244,0.54
plus,0.5,0.5,500,501,4096,62.625,250.5,0.5723508626435312,0.82462268978937,0.20122043727091374,0.14461591652215897,0.002323931535291608,0.15949840964293052,0.0016984799207200585,-0.014882493120771549,0.002842415309507764,0.27
plus,0.5,0.25,4,5,4096,0.3125,1.25,0.5723508626435312,0.82462268978937,0.20122043727091374,0.6129240233035437,0.010705417380532545,0.4465402662622963,0.005504765762592294,0.16638375704124755,0.011629449662012643,0.92
plus,0.5,0.25,8,9,4096,0.5625,2.25,0.5723508626435312,0.82462268978937,0.20122043727091374,0.4953615377265461,0.0077109717501750415,0.3792923320670982,0.0043579149113272975,0.11606920565944795,0.008509461935051489,0.92
plus,0.5,0.25,16,17,4096,1.0625,4.25,0.5723508626435312,0.82462268978937,0.20122043727091374,0.41695571663767184,0.005085924557657945,0.33964904714393257,0.004073203129620126,0.07730666949373921,0.005772706347021989,0.91
plus,0.5,0.25,32,33,4096,2.0625,8.25,0.5723508626435312,0.82462268978937,0.20122043727091374,0.36089828044998096,0.003984516929010188,0.2854874564763038,0.0029620932324362845,0.0754108239736771,0.004814127013021578,0.94
plus,0.5,0.25,64,65,4096,4.0625,16.25,0.5723508626435312,0.82462268978937,0.20122043727091374,0.2984785898941994,0.004343354890838359,0.25076335168141634,0.003193354788704314,0.047715238212783125,0.004955449590328847,0.84
plus,0.5,0.25,128,129,4096,8.0625,32.25,0.5723508626435312,0.82462268978937,0.20122043727091374,0.2436407378417497,0.003606237076251572,0.21009503175610827,0.002574708390224026,0.03354570608564145,0.004178244582814831,0.79
plus,0.5,0.25,256,257,4096,16.0625,64.25,0.5723508626435312,0.82462268978937,0.20122043727091374,0.1870669541076717,0.0029514847008476415,0.17385303017773354,0.0018665477711352122,0.013213923929938209,0.003383941943602814,0.61
plus,0.5,0.25,500,501,4096,31.3125,125.25,0.5723508626435312,0.82462268978937,0.20122043727091374,0.14461591652215897,0.002323931535291608,0.1386569139002934,0.00152047552602261,0.005959002621865602,0.002562714203928983,0.63
plus,0.75,0.25,4,5,4096,0.3125,1.25,0.646384316894263,0.7651903365394443,0.3018306590903388,0.6129240233035437,0.010705417380532545,0.47642452871223123,0.004891187209083279,0.13649949459131258,0.011273201116959538,0.86
plus,0.75,0.25,8,9,4096,0.5625,2.25,0.646384316894263,0.7651903365394443,0.3018306590903388,0.4953615377265461,0.0077109717501750415,0.40951852646186515,0.005173230443049888,0.08584301126468102,0.009252095630697146,0.77
plus,0.75,0.25,16,17,4096,1.0625,4.25,0.646384316894263,0.7651903365394443,0.3018306590903388,0.41695571663767184,0.005085924557657945,0.36451897529968613,0.003897386788541094,0.05243674133798563,0.005738257841912879,0.78
plus,0.75,0.25,32,33,4096,2.0625,8.25,0.646384316894263,0.7651903365394443,0.3018306590903388,0.36089828044998096,0.003984516929010188,0.3190449375897523,0.0030655483654319403,0.04185334286022869,0.005103918746407412,0.75
plus,0.75,0.25,64,65,4096,4.0625,16.25,0.646384316894263,0.7651903365394443,0.3018306590903388,0.2984785898941994,0.004343354890838359,0.2703042469727475,0.0027933392197926903,0.028174342921452003,0.00459494130893798,0.76
plus,0.75,0.25,128,129,4096,8.0625,32.25,0.646384316894263,0.7651903365394443,0.3018306590903388,0.2436407378417497,0.003606237076251572,0.23207547930283937,0.002654498058695569,0.01156525853891031,0.00421726970849336,0.61
plus,0.75,0.25,256,257,4096,16.0625,64.25,0.646384316894263,0.7651903365394443,0.3018306590903388,0.1870669541076717,0.0029514847008476415,0.2000636658227265,0.002139897817207488,-0.012996711715054789,0.003715533336069702,0.32
plus,0.75,0.25,500,501,4096,31.3125,125.25,0.646384316894263,0.7651903365394443,0.3018306590903388,0.14461591652215897,0.002323931535291608,0.16204986302973567,0.0018834937300592747,-0.0174339465075767,0.0028278815570569145,0.25
