method,online_updates,prior_mass,trial,seed,p1_value_vs_br_p2,br_p1_value_vs_p2,exploitability,root_p1_action_1,root_p1_action_2,root_p1_action_3,root_p2_action_1,root_p2_action_2,root_p2_action_3
vanilla,16,4096.0,29,20420743,-0.14386038507410798,-0.12613879032001166,0.01772159475409632,0.997568093385214,0.0012159533073929961,0.0012159533073929961,0.9982243576334937,9.891033666311085e-5,0.0016767320298433322
vanilla,16,0.0,30,20420744,-0.3027009942328296,0.15591190000364497,0.45861289423647456,0.75,0.12499999999999999,0.12499999999999999,0.8696421782809596,0.047746963226655635,0.08261085849238486
vanilla,16,1.0,30,20420744,-0.3729941220408406,-0.015153481688216999,0.3578406403526236,0.7479387738700802,0.25198942006374336,7.180606617647059e-5,0.9998951424429705,5.840982656805947e-6,9.901657437264161e-5
vanilla,16,4.0,30,20420744,-0.3071796887015484,0.08918755668054386,0.3963672453820922,0.99951171875,0.000244140625,0.000244140625,0.9996434843060997,1.985934103314022e-5,0.0003366563528669814
vanilla,16,16.0,30,20420744,-0.20673678131073212,-0.009359033011596806,0.19737774829913532,0.998779296875,0.0006103515625,0.0006103515625,0.9991087107652498,4.964835258285056e-5,0.0008416408821674538
vanilla,16,64.0,30,20420744,-0.1684780731810916,-0.09422237682825285,0.07425569635283874,0.998046875,0.0009765625,0.0009765625,0.9985739372243996,7.94373641325609e-5,0.0013466254114679263
vanilla,16,256.0,30,20420744,-0.14324668673819388,-0.11853731902395079,0.02470936771424309,0.9977022058823529,0.0011488970588235295,0.0011488970588235295,0.998322279087529,9.345572250889518e-5,0.0015842651899622663
vanilla,16,1024.0,30,20420744,-0.14228828424141474,-0.12421750052446114,0.0180707837169536,0.9975961538461539,0.001201923076923077,0.001201923076923077,0.9982448458146457,9.776906354776726e-5,0.0016573851218066784
vanilla,16,4096.0,30,20420744,-0.14378032326213158,-0.12612935758016,0.01765096568197158,0.997568093385214,0.0012159533073929961,0.0012159533073929961,0.9982243576334937,9.891033666311085e-5,0.0016767320298433322
vanilla,16,0.0,31,20420745,-0.3650300655687314,0.21749286954821528,0.5825229351169467,0.5314318472889985,0.07528411579022383,0.3932840369207776,0.25381917458463005,0.041666666666666664,0.7045141587487033
vanilla,16,1.0,31,20420745,-0.3247148794925287,0.1603661159644713,0.485080995457,0.7144751328145558,0.2854530611192678,7.180606617647059e-5,0.9998951424429705,5.840982656805947e-6,9.901657437264161e-5
vanilla,16,4.0,31,20420745,-0.36579248322794794,0.07629416363884967,0.4420866468667976,0.99951171875,0.000244140625,0.000244140625,0.9996434843060997,1.985934103314022e-5,0.0003366563528669814
