method,online_updates,prior_mass,trials,exploitability_mean,exploitability_stderr,exploitability_p90,paired_improvement_mean,paired_improvement_stderr,paired_win_rate
vanilla,64,4.0,100,0.20310924934886246,0.006495825358735154,0.2665623884566556,0.046936659960172385,0.00891739713217414,0.74
vanilla,64,16.0,100,0.2327334933237208,0.004181440456079634,0.2932055934003035,0.01731241598531397,0.007867919045583758,0.56
vanilla,64,64.0,100,0.17594959874828445,0.003681514964410982,0.21285567484574994,0.07409631056075044,0.007261089795193247,0.87
vanilla,64,256.0,100,0.07076045383024243,0.0008043973952986934,0.07989291399129446,0.17928545547879235,0.00643654218278388,1.0
vanilla,64,1024.0,100,0.028355765117350967,0.0002840376692283742,0.031743495719878945,0.2216901441916838,0.006270775617026719,1.0
vanilla,64,4096.0,100,0.017485876338346737,4.596798724094348e-5,0.018027799227200117,0.23256003297068809,0.0063105223214485195,1.0
vanilla,128,0.0,100,0.18420911336271556,0.005918519012631224,0.2854783143392096,0.0,0.0,0.0
vanilla,128,1.0,100,0.15299483823368137,0.004887850025627359,0.21863635516740187,0.031214275129034196,0.007403904032519481,0.68
vanilla,128,4.0,100,0.1445091083145534,0.006054895914737902,0.20613363017879288,0.03970000504816216,0.008771073743958696,0.69
vanilla,128,16.0,100,0.1320708491865802,0.003662472331605751,0.17974148494031889,0.05213826417613534,0.006760478813068581,0.75
vanilla,128,64.0,100,0.15483114238306384,0.003359611840460579,0.1948346920896953,0.029377970979651714,0.0068104847500137355,0.64
vanilla,128,256.0,100,0.10108589941543396,0.002276642686883515,0.13176888099356912,0.08312321394728156,0.006574526209359001,0.92
vanilla,128,1024.0,100,0.033114970210713295,0.00040634173619541827,0.037986328562531195,0.15109414315200229,0.0059486670305510395,1.0
vanilla,128,4096.0,100,0.020099044473866668,0.00012457811777119942,0.02161120885736532,0.16411006888884888,0.005927248199434651,1.0
