leaf_error,transfer_error,trial,baseline_gap,transfer_gap,improvement,achieved_leaf_error,achieved_regret_error,achieved_strategy_error
0.0,0.0,17,0.28176623588527105,0.09085782101112183,0.19090841487414922,0.0,0.0,0.0
0.0,0.025,17,0.28176623588527105,0.11637399988720198,0.16539223599806907,0.0,0.024999269756614664,0.024991998206050914
0.0,0.05,17,0.28176623588527105,0.17835930173405168,0.10340693415121938,0.0,0.04999853951322933,0.04998399641210183
0.0,0.1,17,0.28176623588527105,0.2672705947990316,0.014495641086239464,0.0,0.09999707902645866,0.09996799282420366
0.0,0.2,17,0.28176623588527105,0.41832700071557694,-0.13656076483030588,0.0,0.19999415805291731,0.1999359856484072
0.0,0.4,17,0.28176623588527105,0.4832224690064411,-0.20145623312117006,0.0,0.39998664326649713,0.39999983618689716
0.0,0.0,18,0.19775323446417292,0.10120391368862458,0.09654932077554834,0.0,0.0,0.0
0.0,0.025,18,0.19775323446417292,0.11182573561134246,0.08592749885283046,0.0,0.024999557407234044,0.024994607763917154
0.0,0.05,18,0.19775323446417292,0.12286625969330578,0.07488697477086714,0.0,0.04999911481446809,0.04998988172377111
0.0,0.1,18,0.19775323446417292,0.1974402935844224,0.000312940879750534,0.0,0.09999822962893617,0.09999965067773009
0.0,0.2,18,0.19775323446417292,0.2532358197784069,-0.055482585314234,0.0,0.19999645925787235,0.19996539027799654
0.0,0.4,18,0.19775323446417292,0.3890381259073612,-0.19128489144318828,0.0,0.3999271470117677,0.39993134500368444
0.0,0.0,19,0.24185215748553113,0.15707265240643886,0.08477950507909227,0.0,0.0,0.0
0.0,0.025,19,0.24185215748553113,0.14292710594633917,0.09892505153919195,0.0,0.024999045582951386,0.024997270578736908
0.0,0.05,19,0.24185215748553113,0.23389183374325762,0.007960323742273512,0.0,0.04999809116590277,0.049994541157473815
0.0,0.1,19,0.24185215748553113,0.23397081066716285,0.007881346818368273,0.0,0.09999618233180554,0.09998908231494769
0.0,0.2,19,0.24185215748553113,0.4227040578301364,-0.1808519003446053,0.0,0.1999923646636111,0.19997816462989537
0.0,0.4,19,0.24185215748553113,0.4789408287261754,-0.23708867124064426,0.0,0.3999847293272222,0.39993515310235495
0.0,0.0,20,0.23117651009001483,0.14326274551911966,0.08791376457089517,0.0,0.0,0.0
0.0,0.025,20,0.23117651009001483,0.15500022350882203,0.0761762865811928,0.0,0.024998454559148276,0.02499935266643677
0.0,0.05,20,0.23117651009001483,0.13865270350838999,0.09252380658162485,0.0,0.04999870533287354,0.04999436492353371
0.0,0.1,20,0.23117651009001483,0.19330834986279233,0.0378681602272225,0.0,0.09999741066574708,0.09998872984706741
0.0,0.2,20,0.23117651009001483,0.33460848161886003,-0.1034319715288452,0.0,0.19999482133149415,0.19997745969413483
0.0,0.4,20,0.23117651009001483,0.6178555840206833,-0.38667907393066847,0.0,0.3999896426629883,0.39995403821537534
0.0,0.0,21,0.28296383038266515,0.1163061558083468,0.16665767457431835,0.0,0.0,0.0
0.0,0.025,21,0.28296383038266515,0.1567674300026729,0.12619640037999225,0.0,0.024998853359727447,0.024999137215672984
0.0,0.05,21,0.28296383038266515,0.18439197669960428,0.09857185368306087,0.0,0.049997706719454894,0.04999827443134597
0.0,0.1,21,0.28296383038266515,0.19392477462163982,0.08903905576102533,0.0,0.09999541343890979,0.09999654886269191
0.0,0.2,21,0.28296383038266515,0.277546811529666,0.005417018852999167,0.0,0.19999082687781958,0.19999309772538382
0.0,0.4,21,0.28296383038266515,0.5819613626688073,-0.2989975322861421,0.0,0.39998165375563915,0.3998985204791279
0.0,0.0,22,0.2547822809327922,0.1241986736514773,0.1305836072813149,0.0,0.0,0.0
0.0,0.025,22,0.2547822809327922,0.1562635720501574,0.09851870888263481,0.0,0.02499905101438217,0.024991028357737144
0.0,0.05,22,0.2547822809327922,0.2076443945423324,0.04713788639045979,0.0,0.04999852256964461,0.04998061225959172
0.0,0.1,22,0.2547822809327922,0.21182646435055952,0.042955816582232687,0.0,0.09999704513928923,0.09996122451918343
0.0,0.2,22,0.2547822809327922,0.38250035553687234,-0.12771807460408013,0.0,0.19999409027857845,0.19992822686189704
0.0,0.4,22,0.2547822809327922,0.6065930942846509,-0.3518108133518587,0.0,0.3999881805571569,0.39987919068415145
0.0,0.0,23,0.2217015827058877,0.10520792182486949,0.1164936608810182,0.0,0.0,0.0
0.0,0.025,23,0.2217015827058877,0.10413541220727951,0.11756617049860818,0.0,0.024998988090538167,0.024997669985514614
0.0,0.05,23,0.2217015827058877,0.1055392444259654,0.11616233827992228,0.0,0.049997976181076334,0.04999533997102923
0.0,0.1,23,0.2217015827058877,0.1313815615189421,0.0903200211869456,0.0,0.09999755139969975,0.09999067994205846
0.0,0.2,23,0.2217015827058877,0.2806070527955382,-0.058905470089650525,0.0,0.19999190472430534,0.19998135988411694
0.0,0.4,23,0.2217015827058877,0.49385265492897296,-0.27215107222308527,0.0,0.399990205598799,0.3997758068297256
0.0,0.0,24,0.16904881318617504,0.3621415395136135,-0.19309272632743846,0.0,0.0,0.0
0.0,0.025,24,0.16904881318617504,0.3215229781540915,-0.15247416496791644,0.0,0.024999219041033496,0.024993797287516273
0.0,0.05,24,0.16904881318617504,0.3439889892270406,-0.17494017604086554,0.0,0.04999843808206699,0.049987594575032546
0.0,0.1,24,0.16904881318617504,0.6119958211016423,-0.44294700791546726,0.0,0.09999687616413398,0.09997518915006504
0.0,0.2,24,0.16904881318617504,0.5887946712105403,-0.41974585802436526,0.0,0.19999375232826797,0.19995037830013007
0.0,0.4,24,0.16904881318617504,0.4623919462862633,-0.29334313310008825,0.0,0.3999801616895271,0.39990075660026025
0.0,0.0,25,0.18505689140917714,0.25187279242069693,-0.0668159010115198,0.0,0.0,0.0
