leaf_error,transfer_error,trials,baseline_gap_mean,baseline_gap_sem,transfer_gap_mean,transfer_gap_sem,improvement_mean,improvement_sem,achieved_leaf_error,achieved_regret_error,achieved_strategy_error
0.4,0.2,32,0.25114785703374026,0.015917872323315197,0.3192553508360839,0.01093586232910148,-0.06810749380234365,0.01863964077784227,0.39999784579453945,0.19999976654579987,0.19999991809344853
0.4,0.4,32,0.25114785703374026,0.015917872323315197,0.5024598015131707,0.020981588922708905,-0.25131194447943056,0.02747136510086105,0.39999784579453945,0.39999953309159975,0.39999983618689716
0.6,0.0,32,0.25114785703374026,0.015917872323315197,0.1478622694130533,0.009382994969470608,0.10328558762068692,0.018377556929797728,0.5999967686918091,0.0,0.0
0.6,0.025,32,0.25114785703374026,0.015917872323315197,0.16042461370001015,0.010161034527200892,0.09072324333373005,0.018689429662599878,0.5999967686918091,0.024999970818224984,0.024999882524175954
0.6,0.05,32,0.25114785703374026,0.015917872323315197,0.17169258326063128,0.008277424667549226,0.07945527377310896,0.018354802686171172,0.5999967686918091,0.04999976553508141,0.04999980747170696
0.6,0.1,32,0.25114785703374026,0.015917872323315197,0.21189879010964208,0.009808499495877835,0.03924906692409816,0.018668341998151643,0.5999967686918091,0.09999953009670381,0.09999961494341397
0.6,0.2,32,0.25114785703374026,0.015917872323315197,0.3354421170416768,0.014001515900660403,-0.08429426000793648,0.02017570321659797,0.5999967686918091,0.19999976654579987,0.19999991809344864
0.6,0.4,32,0.25114785703374026,0.015917872323315197,0.5241876714764749,0.024008590924158503,-0.27303981444273473,0.02986719122717826,0.5999967686918091,0.39999953309159975,0.39999983618689716
0.8,0.0,32,0.25114785703374026,0.015917872323315197,0.16474952248068572,0.013397156762641011,0.08639833455305448,0.02032830368940902,0.7999956915890789,0.0,0.0
0.8,0.025,32,0.25114785703374026,0.015917872323315197,0.18035482451399373,0.014432650887492167,0.0707930325197465,0.02059966855128531,0.7999956915890789,0.024999970818224984,0.024999881774913968
0.8,0.05,32,0.25114785703374026,0.015917872323315197,0.19110856491891673,0.013319762586056681,0.06003929211482352,0.021337218287745697,0.7999956915890789,0.04999976553508141,0.04999980747170696
0.8,0.1,32,0.25114785703374026,0.015917872323315197,0.22653871541492804,0.011156882376461586,0.024609141618812166,0.020037602743245723,0.7999956915890789,0.09999953009670381,0.09999965067773009
0.8,0.2,32,0.25114785703374026,0.015917872323315197,0.3435025110983541,0.015441910348439421,-0.09235465406461403,0.022142528692063693,0.7999956915890789,0.19999976654579987,0.19999991809344864
0.8,0.4,32,0.25114785703374026,0.015917872323315197,0.5161076730958599,0.021293900109681865,-0.2649598160621197,0.028913508231351946,0.7999956915890789,0.39999953309159975,0.39999983618689716
1.0,0.0,32,0.25114785703374026,0.015917872323315197,0.18916399458391636,0.017101078745917608,0.06198386244982389,0.022260822949853175,0.9999946144863485,0.0,0.0
1.0,0.025,32,0.25114785703374026,0.015917872323315197,0.19711938331727563,0.016777138396111432,0.05402847371646462,0.02217278916967348,0.9999946144863485,0.024999970818224984,0.02499998976168108
1.0,0.05,32,0.25114785703374026,0.015917872323315197,0.2097112575264869,0.017024724959965012,0.04143659950725332,0.021698731405874833,0.9999946144863485,0.04999976553508141,0.049999979523362104
1.0,0.1,32,0.25114785703374026,0.015917872323315197,0.2512072504880272,0.015438739189064948,-5.939345428700865e-5,0.02161043594398176,0.9999946144863485,0.09999953009670381,0.09999952709965598
1.0,0.2,32,0.25114785703374026,0.015917872323315197,0.3444485374405664,0.017774905407808836,-0.09330068040682622,0.02214207818236369,0.9999946144863485,0.19999964062551578,0.19999991809344864
1.0,0.4,32,0.25114785703374026,0.015917872323315197,0.5096809826816076,0.021746786463162606,-0.2585331256478673,0.02874204303918495,0.9999946144863485,0.39999953309159975,0.39999983618689716
